candidate_id,test_time,answers_count,Avg_RT,correct,correct_percent,efficiency,con_RT,stddev_con_RT,cov_con,inc_RT,stddev_inc_RT,cov_inc,con_correct,inc_correct,con_index,inc_index,conflict_index,con_time_minus_incontime,con_count,inc_count,Con_RT_Correct
30030,2019-07-26T15:23:29.857Z,20,458.55,14,70,655.0714286,448.4,92.42197911,0.206115029,468.7,63.19994726,0.134840937,9,5,498.2222222,937.4,439.1777778,-20.3,10,10,467.6666667
30031,2019-07-18T21:38:15.985Z,20,562,20,100,562,517,57.9674238,0.112122677,607,31.34751452,0.051643352,10,10,517,607,90,-90,10,10,517
30031,2019-06-03T17:18:11.183Z,20,441.75,14,70,631.0714286,420.9,37.26019622,0.088525056,462.6,45.65376947,0.098689515,10,4,420.9,1156.5,735.6,-41.7,10,10,420.9
30032,2019-07-18T22:52:50.286Z,20,521.1,19,95,548.5263158,518.4,78.11985094,0.150694157,523.8,57.93060983,0.110596811,10,9,518.4,582,63.6,-5.4,10,10,518.4
30032,2019-07-18T22:52:44.983Z,20,521.1,19,95,548.5263158,518.4,78.11985094,0.150694157,523.8,57.93060983,0.110596811,10,9,518.4,582,63.6,-5.4,10,10,518.4
30032,2019-06-03T17:08:48.830Z,20,430,16,80,537.5,443.5,35.50352095,0.080053035,416.5,160.1355329,0.384479071,10,6,443.5,694.1666667,250.6666667,27,10,10,443.5
30033,2019-06-03T17:26:14.516Z,20,428.35,19,95,450.8947368,420.6,26.76731008,0.063640775,436.1,49.46704852,0.113430517,9,10,467.3333333,436.1,-31.23333333,-15.5,10,10,418.3333333
30034,2019-07-18T21:37:48.516Z,20,566,18,90,628.8888889,535.1,35.42268576,0.066198254,596.9,99.02351012,0.165896314,10,8,535.1,746.125,211.025,-61.8,10,10,535.1
30034,2019-06-03T17:10:31.475Z,20,570.2,16,80,712.75,552.6,72.5108421,0.131217593,587.8,93.50555539,0.159077161,10,6,552.6,979.6666667,427.0666667,-35.2,10,10,552.6
30035,2019-07-18T21:11:56.336Z,20,552.3,18,90,613.6666667,526.4,53.93864828,0.102467037,578.2,66.30870565,0.114681262,10,8,526.4,722.75,196.35,-51.8,10,10,526.4
30035,2019-06-03T16:59:02.483Z,20,462.25,15,75,616.3333333,453.7,41.63879068,0.091776043,470.8,67.64088179,0.143672221,10,5,453.7,941.6,487.9,-17.1,10,10,453.7
30036,2019-07-23T21:28:07.322Z,20,469.2,17,85,552,400.3,155.3862928,0.388174601,538.1,44.65534682,0.082987078,10,7,400.3,768.7142857,368.4142857,-137.8,10,10,400.3
30036,2019-06-03T17:30:38.627Z,20,446.7,12,60,744.5,432,39.09248294,0.090491859,461.4,79.01504779,0.171250645,10,2,432,2307,1875,-29.4,10,10,432
30037,2019-07-18T21:43:49.395Z,20,512.5,18,90,569.4444444,502,50.97493938,0.101543704,523,82.19083485,0.157152648,10,8,502,653.75,151.75,-21,10,10,502
30037,2019-06-03T17:20:12.740Z,20,412.9,14,70,589.8571429,403.7,74.11859866,0.183598213,422.1,56.98235594,0.13499729,6,8,672.8333333,527.625,-145.2083333,-18.4,10,10,429.8333333
30038,2019-07-18T23:40:59.422Z,20,583.1,20,100,583.1,534.7,71.60547775,0.133917108,631.5,92.65137764,0.146716354,10,10,534.7,631.5,96.8,-96.8,10,10,534.7
30038,2019-06-03T17:02:23.175Z,20,527.5,17,85,620.5882353,493.5,30.75440348,0.062318953,561.5,84.04132581,0.149672887,10,7,493.5,802.1428571,308.6428571,-68,10,10,493.5
30039,2019-06-03T17:07:01.953Z,20,456.1,14,70,651.5714286,432.4,43.41837809,0.10041253,479.8,60.95134672,0.127034904,10,4,432.4,1199.5,767.1,-47.4,10,10,432.4
30040,2019-07-23T22:47:12.922Z,20,485.6,20,100,485.6,449.4,26.09895698,0.058075116,521.8,20.11522364,0.038549681,10,10,449.4,521.8,72.4,-72.4,10,10,449.4
30040,2019-06-03T17:00:27.912Z,20,495.85,14,70,708.3571429,423.3,199.6491645,0.471649337,568.4,111.7061622,0.196527379,7,7,604.7142857,812,207.2857143,-145.1,10,10,476.7142857
30042,2019-06-03T17:32:42.532Z,20,469.8,16,80,587.25,464.6,38.87644245,0.083677233,475,43.48690735,0.091551384,10,6,464.6,791.6666667,327.0666667,-10.4,10,10,464.6
30042,2019-06-03T17:22:01.379Z,20,527.75,17,85,620.8823529,479.9,32.11247594,0.066914932,575.6,91.74142406,0.159383989,10,7,479.9,822.2857143,342.3857143,-95.7,10,10,479.9
30043,2019-07-18T21:27:50.111Z,20,550.3,18,90,611.4444444,494.4,97.09697329,0.196393554,606.2,57.34844762,0.09460318,10,8,494.4,757.75,263.35,-111.8,10,10,494.4
